X1,X2,X3,X4,Y
1.92123,-1.70408,1.02668,-1.46194,1.22344
-0.56914,-0.69559,0.91345,-2.10178,-1.51874
-1.26285,-1.09879,0.65176,-0.63234,-1.28848
-0.84009,0.25258,0.109,0.27399,0.4642
0.71993,-0.03922,-0.48841,-1.66339,-1.48846
-0.79666,-0.6765,2.16689,-1.3487,1.01211
-0.60678,0.53124,-1.65273,-0.38678,-2.92367
0.89325,1.71511,-0.14219,-1.43238,0.75269
-0.94985,0.82018,0.70155,-2.46282,-1.1957
0.87427,2.8813,0.31595,-0.53803,5.82781
-1.27347,2.53789,-0.77899,1.24422,2.77454
-0.30114,1.41775,1.56039,1.78347,7.18038
1.10734,0.04934,0.28417,0.18484,3.56507
-0.65537,-1.12294,0.59838,1.05805,0.50312
0.71069,-1.03871,-1.94011,1.48853,-0.21677
-1.3533,1.11688,0.71122,0.56652,1.70314
2.17518,-1.29403,-1.23531,0.02952,-1.27661
-1.96163,0.14277,1.66742,2.39509,4.40418
0.39496,-0.09661,-0.23134,0.11602,0.4551
-0.36795,1.11112,0.43191,0.2195,2.72929
1.17324,-0.68972,0.46184,-0.68124,0.73056
-0.80262,1.48259,0.61029,-0.20979,1.34756
0.10964,1.12271,-0.56727,-0.81219,1.59677
1.15333,0.15721,-0.05226,-1.19432,1.3755
-0.41465,-1.12245,-1.48062,-0.54229,-3.81203
-0.83257,0.21026,0.82139,-0.86668,1.47772
1.13658,1.10481,-1.20367,-0.60979,0.58199
0.12094,-1.41492,0.99314,-1.005,0.62483
0.22727,0.28588,0.64523,-0.72718,0.9179
0.07676,0.19768,-0.72085,-0.52206,-0.89134
-0.72801,1.06531,-0.07164,0.88625,2.44559
-0.04468,-0.13517,1.56149,0.32293,2.26281
1.45816,-0.5759,-0.6462,-0.29013,1.39131
-0.37451,0.03284,1.76788,-0.01325,3.04042
0.28475,1.14432,-1.59034,0.67255,1.50678
-0.36418,-0.07685,-0.2548,-0.93174,-0.82921
-0.2248,-1.29163,-0.05353,0.60544,0.79188
1.13995,1.72373,0.10163,1.00086,3.92962
-2.21091,-0.05995,0.61153,0.3488,-1.55071
0.98292,-1.80175,-1.19649,-0.23706,-2.0397
-0.60811,1.89891,0.01863,0.97672,2.81967
0.91934,0.78968,0.55804,0.24925,3.3361
1.807,0.80305,-0.13047,-2.52599,1.52952
1.70717,0.13753,0.41966,1.00056,3.55898
-2.61333,-0.70609,0.31583,1.05562,1.42639
0.04503,0.26479,-0.46323,-1.85062,-1.38574
0.13212,1.51933,-0.13193,-1.30225,0.66744
0.13273,0.00761,-1.0837,-1.36269,-3.50987
1.13554,-1.35777,-0.77486,-0.04521,0.28856
-0.30558,2.64397,-0.41474,-1.71929,-0.71695
-1.40972,0.82519,0.03445,-0.05043,0.33497
-0.1193,-1.25944,0.19408,0.58446,-0.54992
0.17833,-0.10518,0.61906,-0.35902,1.471
-1.38099,0.89809,-1.55102,0.66215,-0.57159
-1.03945,-2.04653,1.1212,-0.6379,-0.48231
-0.29975,0.66777,0.85984,-0.41596,2.11267
1.06928,1.09529,-1.04695,1.31875,2.99516
1.0948,-0.51591,-0.43477,-1.00885,-1.74307
1.31975,-0.6247,-1.97972,-1.73218,-2.04342
0.76145,-1.18202,-2.14614,-0.52152,-1.9224
0.9998,0.58961,-0.20824,2.22221,5.889
0.09829,0.51685,0.77871,-0.03869,1.53035
1.38906,0.34949,0.96765,0.38668,4.99231
-0.48519,0.34506,1.10241,0.63028,3.42759
0.79101,0.34977,1.67443,-1.35244,1.72377
1.38811,0.59094,-0.39447,0.62388,2.88187
0.12944,0.14555,-0.12309,1.29774,4.06491
0.78342,-0.49021,0.35757,1.76729,5.48712
-1.75789,-0.16998,-0.41606,-0.65197,-0.29163
0.16632,-0.64125,1.10282,0.86586,2.49025
0.04232,-1.51005,-0.30929,0.1271,-0.98356
-0.67391,-0.06659,0.59993,-0.22574,-0.29563
-0.87077,0.1738,-0.5178,0.38215,-0.48881
1.45133,-0.46963,0.64487,0.64934,2.69053
0.23831,1.97265,-1.16333,0.21277,3.31782
0.30986,1.07091,-0.12962,1.75579,4.17511
0.19318,0.41252,0.39381,-0.32002,3.53229
0.55162,-0.7511,-0.25828,0.09723,0.53997
-0.52298,0.15194,-0.00683,0.04688,-1.59672
-1.65427,0.58576,-1.31115,1.25104,-0.76454
-0.51653,1.10165,0.11908,0.00659,1.25541
0.0144,0.59821,-2.27786,-0.12113,-1.41062
-0.56359,-0.77725,-0.27632,-1.04238,-2.04827
-0.29803,0.26416,0.62308,0.29047,3.60725
0.44104,0.07679,0.2322,0.76436,4.90432
-1.17285,-0.85934,0.26691,0.88118,1.48794
-0.17554,0.21653,0.3479,0.07249,2.28249
0.37032,0.47401,-1.71302,1.60402,1.06715
-2.07172,0.42495,-0.46083,-0.64026,-1.57377
0.54905,-2.27974,0.77632,0.80519,1.19713
1.30479,0.65677,-1.22688,0.43934,4.32616
-0.13044,0.18931,0.77729,-1.14232,0.61348
-0.32929,1.78227,0.07623,1.21785,4.99949
-0.70559,-1.17724,1.03607,-0.2352,-0.18913
-1.68957,0.48087,0.23489,-0.33762,-0.89771
0.62802,0.9834,1.23984,-0.6497,3.09197
0.71517,-0.36777,-0.29342,0.51166,2.4611
1.65594,-0.93742,-0.07365,0.68326,2.0613
0.01495,0.90187,1.05827,0.95728,3.8143
-0.84347,-0.78643,0.28513,-0.20121,-0.61732
-0.87087,0.71653,0.23089,0.5136,0.96142
1.2696,0.71099,1.12223,-1.74888,3.27939
1.67773,0.04323,1.36174,-0.7662,4.06554
2.2695,0.50457,1.29382,0.11627,5.64604
0.92902,2.19897,0.99158,1.01082,8.06708
-1.30837,-1.70623,-0.56022,1.45107,-1.04073
-0.3978,-0.63809,0.31087,1.3968,1.98443
-0.15005,0.74875,0.39598,1.58791,4.60642
0.35271,0.98087,-0.30654,0.19082,2.45197
-0.1996,2.44832,0.64065,-0.09649,3.32912
-1.21225,0.01407,-1.75775,1.1833,1.24969
0.25631,1.09448,-0.10859,0.16848,0.96404
1.81438,0.53194,0.54609,-0.06183,4.87211
-0.7816,0.50462,1.03315,-0.73778,0.73151
0.74904,2.12175,0.98085,-0.4285,4.96225
-2.68213,-1.02481,-0.47387,0.4319,-4.08256
0.34088,1.18114,0.7274,-1.07167,2.05347
0.42618,-0.13042,-0.59499,0.83569,0.16962
-0.56447,-0.57854,0.91022,-0.70161,1.28232
-0.11707,-0.12424,0.12376,-0.35073,2.13638
-0.35292,-1.84671,-0.1826,0.75003,-1.06765
-1.78001,-1.03954,1.31191,0.15931,0.10253
-1.63286,1.15817,-1.64469,1.5938,-0.25983
0.38225,0.52127,-0.89791,2.54788,4.28696
0.78785,-0.1674,1.00287,0.40991,2.36666
0.89739,-0.81864,-1.62313,1.04253,0.96373
-0.5093,1.25203,1.43094,-0.15047,4.82181
-2.13548,0.81723,1.02256,0.54436,1.64979
0.29872,1.06829,0.83169,0.8564,4.42112
0.79105,-0.79404,-0.4582,-1.39025,-1.68507
-0.15233,0.06323,1.84413,-0.10992,3.53972
0.69894,-0.43242,0.04605,0.68616,0.85557
-1.115,0.88171,-0.8527,0.04076,-1.28369
-0.08823,0.06869,-1.04487,-1.49119,-0.38966
1.46153,-1.58346,-0.0128,0.9246,0.90535
-0.49721,-1.04944,0.23026,-1.10653,-1.75914
-0.1898,0.59602,-0.23536,0.83248,1.66979
-1.3156,0.32239,-0.16745,0.86703,0.70963
-1.12588,-2.24954,0.02432,0.51653,-3.33038
2.13339,-0.96943,1.93582,1.85622,5.572
-1.09747,0.13508,-1.06874,1.07767,0.58795
0.72054,2.09319,-0.71117,-0.90759,2.55659
0.81969,1.06631,-0.32967,-2.09249,1.93708
-0.22182,-0.03112,0.13468,-2.01996,-0.59231
0.13333,-0.88026,-0.60014,0.76258,-0.49789
-0.48038,-0.24741,-0.46853,0.00273,-1.8748
0.32143,0.01748,-0.84137,0.09159,1.03187
1.34016,0.28875,0.77527,0.23436,5.09049
-0.54647,-1.28278,-1.17334,1.14065,-1.98405
-0.94405,-1.92502,-0.10841,-0.94538,-2.79787
